Category,Subject,Email Body
Education & Learning,Assignment deadline reminder,This is an email regarding assignment deadline reminder in the education & learning category.
Technical Support,Issue resolved,This is an email regarding issue resolved in the technical support category.
E-commerce & Orders,Your order has shipped,This is an email regarding your order has shipped in the e-commerce & orders category.
Newsletters & Subscriptions,Latest updates from our blog,This is an email regarding latest updates from our blog in the newsletters & subscriptions category.
Social Media Notifications,New friend request,This is an email regarding new friend request in the social media notifications category.
Finance & Banking,Payment received,This is an email regarding payment received in the finance & banking category.
Social Media Notifications,Someone liked your post,This is an email regarding someone liked your post in the social media notifications category.
Healthcare & Medical,Your lab results are in,This is an email regarding your lab results are in in the healthcare & medical category.
E-commerce & Orders,Track your package,This is an email regarding track your package in the e-commerce & orders category.
Travel & Hospitality,Your flight details,This is an email regarding your flight details in the travel & hospitality category.
Work/Business,Project deadline update,This is an email regarding project deadline update in the work/business category.
Newsletters & Subscriptions,Weekly newsletter,This is an email regarding weekly newsletter in the newsletters & subscriptions category.
E-commerce & Orders,Track your package,This is an email regarding track your package in the e-commerce & orders category.
Social Media Notifications,Your profile was viewed,This is an email regarding your profile was viewed in the social media notifications category.
Newsletters & Subscriptions,New articles you might like,This is an email regarding new articles you might like in the newsletters & subscriptions category.
Education & Learning,Exam schedule update,This is an email regarding exam schedule update in the education & learning category.
Legal & Government,Tax filing deadline,This is an email regarding tax filing deadline in the legal & government category.
Work/Business,Meeting rescheduled,This is an email regarding meeting rescheduled in the work/business category.
Social Media Notifications,Your profile was viewed,This is an email regarding your profile was viewed in the social media notifications category.
Social Media Notifications,Your profile was viewed,This is an email regarding your profile was viewed in the social media notifications category.
Technical Support,Issue resolved,This is an email regarding issue resolved in the technical support category.
Travel & Hospitality,Hotel booking confirmation,This is an email regarding hotel booking confirmation in the travel & hospitality category.
Promotions,Limited-time offer!,This is an email regarding limited-time offer! in the promotions category.
Technical Support,Your support ticket update,This is an email regarding your support ticket update in the technical support category.
Work/Business,New task assignment,This is an email regarding new task assignment in the work/business category.
E-commerce & Orders,Track your package,This is an email regarding track your package in the e-commerce & orders category.
Personal,Weekend plans?,This is an email regarding weekend plans? in the personal category.
Personal,"Hey, how are you?","This is an email regarding hey, how are you? in the personal category."
Legal & Government,Your application status,This is an email regarding your application status in the legal & government category.
Newsletters & Subscriptions,New articles you might like,This is an email regarding new articles you might like in the newsletters & subscriptions category.
Work/Business,Project deadline update,This is an email regarding project deadline update in the work/business category.
Social Media Notifications,New friend request,This is an email regarding new friend request in the social media notifications category.
